Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,imageID,dorsal_lateral_bad,weight_bad,weight_dorsal,weight_lateral,conf_infers1,conf_infers3,conf_infers5,conf_infers7,bad_signifier
3408.0,2327.0,,INAT-14676054-24,lateral,-6.005465507507324,1.24412202835083,4.599595546722412,lateral,lateral,bad,bad,
3409.0,2328.0,,INAT-522841-1,lateral,-1.121735453605652,-2.5845823287963867,3.6631152629852295,lateral,lateral,bad,bad,
3410.0,2329.0,,INAT-67085446-1,lateral,-7.803791046142578,-9.498221397399902,17.036518096923828,lateral,lateral,lateral,lateral,
3411.0,2330.0,,INAT-123779516-3,lateral,-4.246730327606201,-7.812797546386719,12.118253707885742,lateral,lateral,lateral,lateral,
3412.0,2331.0,,INAT-27300069-1,bad,1.4275285005569458,1.259512186050415,-2.805819034576416,bad,bad,bad,bad,
3413.0,2332.0,,INAT-120774526-2,dorsal,0.0061368308961391,4.951788902282715,-5.262390613555908,dorsal,dorsal,bad,bad,
3414.0,2333.0,,INAT-48924486-2,lateral,-8.672962188720703,-9.852409362792969,18.637638092041016,lateral,lateral,lateral,lateral,
3415.0,2334.0,,INAT-101299626-1,lateral,-5.156796932220459,-7.774455547332764,12.79788303375244,lateral,lateral,lateral,lateral,
3416.0,2335.0,,INAT-123609171-2,dorsal,0.8941333889961243,1.5077056884765625,-2.783156633377075,bad,bad,bad,bad,
3417.0,2336.0,,INAT-16819371-1,lateral,-1.3315322399139404,-4.088128089904785,5.416755676269531,lateral,lateral,lateral,bad,
3418.0,2337.0,,INAT-12789217-8,lateral,-2.866330862045288,-9.867210388183594,12.747541427612305,lateral,lateral,lateral,lateral,
3419.0,2338.0,,INAT-738694-1,lateral,-3.1995811462402344,-3.8384625911712646,7.0669379234313965,lateral,lateral,lateral,lateral,
3420.0,2339.0,,INAT-24648726-1,dorsal,-4.4412126541137695,7.408543109893799,-3.289304256439209,dorsal,dorsal,dorsal,dorsal,
3421.0,2340.0,,INAT-53885141-1,lateral,-0.3057191669940948,-10.755690574645996,10.92890167236328,lateral,lateral,lateral,lateral,
3422.0,2341.0,,INAT-85387594-2,lateral,-0.8201599717140198,-4.511730670928955,5.242008686065674,lateral,lateral,lateral,bad,
3423.0,2342.0,,INAT-59390062-1,dorsal,-6.083069324493408,7.74873161315918,-1.9817843437194824,dorsal,dorsal,dorsal,dorsal,
3424.0,2343.0,,INAT-122573190-1,lateral,-0.2376685291528701,-0.8806385397911072,0.9924262166023254,lateral,bad,bad,bad,
3425.0,2344.0,,INAT-54515579-1,bad,2.588975191116333,-3.269573450088501,0.3357313275337219,bad,bad,bad,bad,
3426.0,2345.0,,INAT-49277592-1,dorsal,0.5575152635574341,4.439048767089844,-5.274084091186523,dorsal,dorsal,bad,bad,
3427.0,2346.0,,INAT-85988971-1,lateral,-3.1502456665039062,-1.4586492776870728,4.424115180969238,lateral,lateral,lateral,bad,
3428.0,2347.0,,INAT-15357177-1,lateral,-7.149519443511963,-11.200995445251465,18.185848236083984,lateral,lateral,lateral,lateral,
3429.0,2348.0,,INAT-54345712-2,bad,2.3088834285736084,0.6928357481956482,-3.377113580703736,bad,bad,bad,bad,
3430.0,2349.0,,INAT-16421962-7,bad,6.461727619171143,-5.905323028564453,-0.7485789656639099,bad,bad,bad,bad,
3431.0,2350.0,,INAT-70775113-18,lateral,-7.022731781005859,-2.905613899230957,9.874323844909668,lateral,lateral,lateral,lateral,
3432.0,2351.0,,INAT-118165576-1,dorsal,-2.106696128845215,3.588892698287964,-1.635727882385254,dorsal,dorsal,dorsal,bad,
3433.0,2352.0,,INAT-125777180-1,lateral,-0.29228076338768,-7.573894500732422,7.890115261077881,lateral,lateral,lateral,lateral,
3434.0,2353.0,,INAT-50495514-4,lateral,1.0956248044967651,-3.926409721374512,2.932765483856201,lateral,bad,bad,bad,
3435.0,2354.0,,INAT-134663107-3,bad,0.7250062227249146,-0.2350286543369293,-0.731645941734314,bad,bad,bad,bad,
3436.0,2355.0,,INAT-15739851-1,dorsal,-1.3366774320602417,2.3274693489074707,-1.27431321144104,dorsal,dorsal,bad,bad,
3437.0,2356.0,,INAT-18326993-3,bad,1.5024646520614624,0.6482412815093994,-2.135408401489258,bad,bad,bad,bad,
3438.0,2357.0,,INAT-28910924-2,bad,3.7794792652130127,-4.631679534912109,0.7955530881881714,bad,bad,bad,bad,
3439.0,2358.0,,INAT-127547130-2,bad,1.85284686088562,-2.580645799636841,0.5344043970108032,bad,bad,bad,bad,
3440.0,2359.0,,INAT-87009674-2,bad,2.082659721374512,1.8145827054977417,-4.31905460357666,bad,bad,bad,bad,
3441.0,2360.0,,INAT-26293534-1,bad,2.144033908843994,-1.9381345510482788,-0.3707558810710907,bad,bad,bad,bad,
3442.0,2361.0,,INAT-127304137-2,dorsal,-5.845125198364258,6.322561740875244,-0.7140021920204163,dorsal,dorsal,dorsal,dorsal,
3443.0,2362.0,,INAT-27383535-1,dorsal,-1.656338810920715,2.516817331314087,-1.0180606842041016,dorsal,dorsal,bad,bad,
3444.0,2363.0,,INAT-90386069-1,bad,7.134462833404541,-3.7447915077209473,-3.562849521636963,bad,bad,bad,bad,
3445.0,2364.0,,INAT-54942648-1,bad,4.627382755279541,-0.963411509990692,-4.170010089874268,bad,bad,bad,bad,
3446.0,2365.0,,INAT-84511329-2,lateral,-3.583505630493164,-8.515386581420898,12.160699844360352,lateral,lateral,lateral,lateral,
3447.0,2366.0,,INAT-28086962-1,lateral,-1.4966779947280884,-5.981147766113281,7.444419384002685,lateral,lateral,lateral,lateral,
3448.0,2367.0,,INAT-100495369-1,bad,2.2337324619293213,-0.4399173855781555,-1.933691501617432,bad,bad,bad,bad,
3449.0,2368.0,,INAT-81060235-4,bad,3.527071237564087,-2.4635448455810547,-1.2982743978500366,bad,bad,bad,bad,
