,John,,,,Jessica,,,
"Coryphaeschna viriditas Calvert, 1952 - Mangrove Darner",,x,,,,X,,
"Epiaeschna heros (Fabricius, 1798) - Swamp Darner",,x,,,,X,,
"Gomphaeschna antilope (Hagen, 1874) - Taper-tailed Darner",x,,,,,X,,
"Gomphaeschna furcillata (Say, 1839) - Harlequin Darner",x,,,,,X,,
"Gynacantha mexicana Selys, 1868 - Bar-sided Darner",,x,,,,X,,
"Gynacantha nervosa Rambur, 1842 - Twilight Darner",,x,,,,X,,
"Nasiaeschna pentacantha (Rambur, 1842) - Cyrano Darner",,x,,,,X,,
"Oplonaeschna armata (Hagen, 1861) - Riffle Darner",,x,,,,X,,
"Remartinia luteipennis (Burmeister, 1839) - Malachite Darner",,x,,,,X,,
"Remartinia secreta (Calvert, 1952) - Secretive Darner",,x,,,,X,,
"Rhionaeschna californica (Calvert, 1895) - California Darner",,x,,,,X,,
"Rhionaeschna dugesi (Calvert, 1905) - Arroyo Darner",,x,,,,X,,
"Rhionaeschna multicolor (Hagen, 1861) - Blue-eyed Darner",,x,,,,X,,
"Rhionaeschna mutata (Hagen, 1861) - Spatterdock Darner",,x,,,,X,,
"Rhionaeschna psilus (Calvert, 1947) - Turquoise-tipped Darner",,x,,,,X,,
"Triacanthagyna caribbea Williamson, 1923 - Caribbean Darner",,x,,,,X,,
"Triacanthagyna septima (Selys in Sagra, 1857) - Pale-green Darner",,x,,,,X,,
"Triacanthagyna trifida (Rambur, 1842) - Phantom Darner",,,,,,,,
,,,,,,,,
Gomphidae - Clubtails,,,,,,,,
"Aphylla angustifolia Garrison, 1986 - Broad-striped Forceptail",x,,,,X,,,
"Aphylla protracta (Hagen in Selys, 1859) - Narrow-striped Forceptail",x,,,,X,,,
"Aphylla williamsoni (Gloyd, 1936) - Two-striped Forceptail",x,,,,X,,,
"Arigomphus cornutus (Tough, 1900) - Horned Clubtail",x,,,,X,,,
"Arigomphus furcifer (Hagen in Selys, 1878) - Lilypad Clubtail",x,,,,X,,,
"Arigomphus lentulus (Needham, 1902) - Stillwater Clubtail",x,,,,X,,,
"Arigomphus maxwelli (Ferguson, 1950) - Bayou Clubtail",x,,,,X,,,
"Arigomphus pallidus (Rambur, 1842) - Gray-green Clubtail",x,,,,X,,,
"Arigomphus submedianus (Williamson, 1914 ) - Jade Clubtail",x,,,,X,,,
"Arigomphus villosipes (Selys, 1854) - Unicorn Clubtail",x,,,,X,,,
"Dromogomphus armatus Selys, 1854 - Southeastern Spinyleg",x,,,,X,,,
"Dromogomphus spinosus Selys, 1854 - Black-shouldered Spinyleg",x,,,,X,,,
"Dromogomphus spoliatus (Hagen in Selys, 1858) - Flag-tailed Spinyleg",x,,,,X,,,
"Erpetogomphus compositus Hagen in Selys, 1858 - White-belted Ringtail",x,,,,X,,,
"Erpetogomphus crotalinus (Hagen in Selys, 1854) - Yellow-legged Ringtail",x,,,,X,,,
"Erpetogomphus designatus Hagen in Selys, 1858 - Eastern Ringtail",x,,,,X,,,
"Erpetogomphus elaps Selys, 1857 - Straight-tipped Ringtail",x,,,,X,,,
"Erpetogomphus eutainia Calvert, 1905 - Blue-faced Ringtail",x,,,,X,,,
"Erpetogomphus heterodon Garrison, 1994 - Dashed Ringtail",x,,,,X,,,
